,name,category,github_id,labels,github_url,homepage,license,created_at,updated_at,last_commit_pushed_at,fork_count,open_issue_count,closed_issue_count,star_count,commit_count,latest_stable_release_published_at,latest_stable_release_number,github_release_downloads,monthly_downloads,release_count,description,dependent_project_count,github_dependent_project_count,contributor_count,projectrank,show,projectrank_placing,trending,updated_github_id,gitlab_id
0,Ethereum,blockchain,ethereum/go-ethereum,"['PoW', 'PoS']",https://github.com/ethereum/go-ethereum,https://github.com/ethereum/go-ethereum,LGPL-3.0,2013-12-26 13:05:46,2021-09-09 14:38:43,2021-09-08 12:21:59,10850.0,259.0,5595.0,32245.0,12858.0,2021-08-24 07:07:47,1.10.8,88902.0,1389.0,100.0,Official Go implementation of the Ethereum protocol.,4895.0,4895.0,629.0,33,True,1.0,6.0,,
1,Dogecoin,blockchain,dogecoin/dogecoin,['PoW'],https://github.com/dogecoin/dogecoin,https://github.com/dogecoin/dogecoin,MIT,2013-12-06 11:38:05,2021-09-09 17:44:33,2021-08-20 09:09:55,2139.0,94.0,902.0,12928.0,13774.0,2021-08-21 00:30:41,1.14.4,8310542.0,89360.0,37.0,very currency.,,,593.0,29,True,1.0,,,
2,Dash,blockchain,dashpay/dash,['PoW'],https://github.com/dashpay/dash,https://github.com/dashpay/dash,MIT,2014-05-01 17:45:34,2021-09-09 17:13:06,2021-06-05 19:11:48,1123.0,66.0,527.0,1408.0,19080.0,2021-06-07 18:07:45,0.17.0.3,85738111.0,1020691.0,48.0,Dash - Reinventing Cryptocurrency.,,,506.0,28,True,2.0,1.0,,
3,EOS,blockchain,EOSIO/eos,['dPoS'],https://github.com/EOSIO/eos,https://github.com/EOSIO/eos,MIT,2017-04-05 17:09:53,2021-09-09 18:00:41,2021-07-19 23:22:42,3353.0,272.0,4722.0,11245.0,20554.0,2021-08-24 18:22:18,2.0.13,75843.0,1944.0,100.0,An open source smart contract platform.,,,282.0,27,True,2.0,,,
4,Bitcoin,blockchain,bitcoin/bitcoin,['PoW'],https://github.com/bitcoin/bitcoin,https://github.com/bitcoin/bitcoin,MIT,2010-12-19 15:16:43,2021-09-09 18:01:55,2021-09-09 13:55:03,20739.0,614.0,5829.0,56898.0,30553.0,2021-05-03 01:33:04,0.21.1,,,35.0,Bitcoin Core integration/staging tree.,,,1005.0,25,True,2.0,,,
5,Chainlink,blockchain,smartcontractkit/chainlink,[],https://github.com/smartcontractkit/chainlink,https://github.com/smartcontractkit/chainlink,MIT,2017-11-20 19:50:46,2021-09-09 17:25:30,2021-09-09 14:14:22,607.0,49.0,186.0,2224.0,15741.0,2021-09-07 01:47:44,0.10.14,,,53.0,"node of the decentralized oracle network, bridging on and off-chain computation.",269.0,269.0,98.0,25,True,2.0,,,
6,Solana,blockchain,solana-labs/solana,['PoS'],https://github.com/solana-labs/solana,https://github.com/solana-labs/solana,,2018-02-14 04:26:27,2021-09-09 17:55:36,2021-09-09 17:34:43,677.0,525.0,2642.0,3736.0,15626.0,2021-08-27 16:19:27,1.7.11,166734.0,13894.0,100.0,"Web-Scale Blockchain for fast, secure, scalable, decentralized apps and marketplaces.",,,204.0,24,False,2.0,,,
7,TRON,blockchain,tronprotocol/java-tron,['dPoS'],https://github.com/tronprotocol/java-tron,https://github.com/tronprotocol/java-tron,LGPL-3.0,2017-12-26 10:20:38,2021-09-09 11:15:03,2021-08-13 04:06:28,891.0,7.0,892.0,2795.0,15874.0,2021-08-03 09:53:04,GreatVoyage-v4.3.0,68397.0,1519.0,59.0,Java implementation of the Tron whitepaper.,,,223.0,23,True,3.0,,,
8,Binance chain,blockchain,binance-chain/bsc,['PoS'],https://github.com/binance-chain/bsc,https://github.com/binance-chain/bsc,LGPL-3.0,2020-05-21 06:44:14,2021-09-09 14:19:26,2021-09-06 03:22:21,286.0,84.0,216.0,833.0,12737.0,2021-08-31 02:50:15,1.1.2,45878.0,2867.0,20.0,A Binance Smart Chain client based on the go-ethereum fork.,,,607.0,23,True,3.0,,,
9,Monero,blockchain,monero-project/monero,['PoW'],https://github.com/monero-project/monero,https://github.com/monero-project/monero,,2014-04-30 14:38:28,2021-09-09 11:32:08,2021-08-27 01:13:44,2166.0,433.0,2053.0,6186.0,10541.0,2021-09-01 16:07:46,0.17.2.3,29719.0,437.0,40.0,"Monero: the secure, private, untraceable cryptocurrency.",,,351.0,22,False,3.0,,,
10,Polkadot,blockchain,paritytech/polkadot,['PoS'],https://github.com/paritytech/polkadot,https://github.com/paritytech/polkadot,GPL-3.0,2018-08-09 10:57:23,2021-09-09 17:26:39,2021-09-09 12:06:13,814.0,306.0,770.0,4113.0,2376.0,2021-08-21 13:29:45,0.9.9-1,39978.0,1211.0,95.0,Polkadot Node Implementation.,,,138.0,22,True,3.0,1.0,,
11,Litecoin,blockchain,litecoin-project/litecoin,['PoW'],https://github.com/litecoin-project/litecoin,https://github.com/litecoin-project/litecoin,MIT,2012-06-13 04:18:26,2021-08-02 22:18:28,2021-06-10 08:07:14,2728.0,59.0,380.0,3929.0,19975.0,2020-06-11 19:52:19,0.18.1,,,12.0,Litecoin source tree.,,,758.0,22,True,3.0,,,
12,Zcash,blockchain,zcash/zcash,['PoW'],https://github.com/zcash/zcash,https://github.com/zcash/zcash,,2014-11-22 03:13:10,2021-09-09 13:52:41,2021-09-08 17:47:55,1186.0,897.0,2281.0,4455.0,15303.0,2021-06-10 02:08:47,4.4.1,222.0,3.0,48.0,Zcash - Internet Money.,,,577.0,21,False,3.0,,,
13,Cardano,blockchain,input-output-hk/cardano-node,['PoS'],https://github.com/input-output-hk/cardano-node,https://github.com/input-output-hk/cardano-node,Apache-2.0,2019-05-23 20:12:22,2021-09-09 18:04:17,2021-09-09 14:30:39,360.0,282.0,660.0,2008.0,4941.0,2021-08-27 19:20:06,1.29.0,119.0,5.0,31.0,The core component that is used to participate in a Cardano decentralised blockchain.,,,90.0,20,True,3.0,,,
14,Stellar,blockchain,stellar/stellar-core,['PoS'],https://github.com/stellar/stellar-core,https://github.com/stellar/stellar-core,,2014-11-24 17:11:12,2021-09-09 04:21:45,2021-09-04 03:30:19,819.0,205.0,1070.0,2781.0,7364.0,2021-08-30 19:31:38,17.4.0,,,100.0,stellar-core is the reference implementation for the peer to peer agent that manages the Stellar network.,,,95.0,18,False,3.0,,,
