,name,category,github_id,labels,github_url,homepage,license,created_at,updated_at,last_commit_pushed_at,fork_count,open_issue_count,closed_issue_count,star_count,commit_count,latest_stable_release_published_at,latest_stable_release_number,github_release_downloads,monthly_downloads,release_count,description,dependent_project_count,github_dependent_project_count,contributor_count,projectrank,show,projectrank_placing,trending,updated_github_id,gitlab_id
0,Ethereum,blockchain,ethereum/go-ethereum,"['PoW', 'PoS']",https://github.com/ethereum/go-ethereum,https://github.com/ethereum/go-ethereum,LGPL-3.0,2013-12-26 13:05:46,2021-07-29 18:03:50,2021-07-29 15:50:18,10640.0,221.0,5517.0,31586.0,12763.0,2021-07-22 14:53:24,1.10.6,95573.0,1541.0,100.0,Official Go implementation of the Ethereum protocol.,4401.0,4401.0,614.0,33,True,1.0,6.0,,
1,Dogecoin,blockchain,dogecoin/dogecoin,['PoW'],https://github.com/dogecoin/dogecoin,https://github.com/dogecoin/dogecoin,MIT,2013-12-06 11:38:05,2021-07-29 00:00:57,2021-05-18 22:12:42,2071.0,171.0,797.0,12326.0,13537.0,2021-02-28 21:14:19,1.14.3,8242532.0,90577.0,36.0,very currency.,,,554.0,29,True,1.0,,,
2,Dash,blockchain,dashpay/dash,['PoW'],https://github.com/dashpay/dash,https://github.com/dashpay/dash,MIT,2014-05-01 17:45:34,2021-07-29 15:00:27,2021-06-05 19:11:48,1121.0,64.0,520.0,1395.0,19080.0,2021-06-07 18:07:45,0.17.0.3,85622883.0,1044181.0,48.0,Dash - Reinventing Cryptocurrency.,,,505.0,28,True,2.0,1.0,,
3,EOS,blockchain,EOSIO/eos,['dPoS'],https://github.com/EOSIO/eos,https://github.com/EOSIO/eos,MIT,2017-04-05 17:09:53,2021-07-29 15:28:37,2021-07-19 23:22:42,3345.0,260.0,4713.0,11233.0,20554.0,2021-05-20 13:46:17,2.1.0,73054.0,1974.0,100.0,An open source smart contract platform.,,,282.0,27,True,2.0,,,
4,Bitcoin,blockchain,bitcoin/bitcoin,['PoW'],https://github.com/bitcoin/bitcoin,https://github.com/bitcoin/bitcoin,MIT,2010-12-19 15:16:43,2021-07-29 17:52:44,2021-07-29 12:53:36,20440.0,601.0,5758.0,55897.0,30053.0,2021-05-03 01:33:04,0.21.1,,,35.0,Bitcoin Core integration/staging tree.,,,984.0,25,True,2.0,,,
5,Chainlink,blockchain,smartcontractkit/chainlink,[],https://github.com/smartcontractkit/chainlink,https://github.com/smartcontractkit/chainlink,MIT,2017-11-20 19:50:46,2021-07-29 17:42:44,2021-07-29 17:42:43,549.0,43.0,180.0,2104.0,15471.0,2021-07-26 12:21:10,0.10.10,,,49.0,"node of the decentralized oracle network, bridging on and off-chain computation.",243.0,243.0,93.0,25,True,2.0,,,
6,Solana,blockchain,solana-labs/solana,['PoS'],https://github.com/solana-labs/solana,https://github.com/solana-labs/solana,,2018-02-14 04:26:27,2021-07-29 17:48:14,2021-07-29 17:48:14,562.0,496.0,2566.0,2822.0,15167.0,2021-07-23 20:36:22,1.6.20,134754.0,12250.0,100.0,"Web-Scale Blockchain for fast, secure, scalable, decentralized apps and marketplaces.",,,190.0,24,False,2.0,,,
7,TRON,blockchain,tronprotocol/java-tron,['dPoS'],https://github.com/tronprotocol/java-tron,https://github.com/tronprotocol/java-tron,LGPL-3.0,2017-12-26 10:20:38,2021-07-28 08:59:20,2021-07-16 04:17:55,869.0,4.0,865.0,2744.0,15591.0,2021-06-25 09:01:45,GreatVoyage-v4.2.2.1,66085.0,1536.0,58.0,Java implementation of the Tron whitepaper.,,,222.0,23,True,3.0,,,
8,Binance chain,blockchain,binance-chain/bsc,['PoS'],https://github.com/binance-chain/bsc,https://github.com/binance-chain/bsc,LGPL-3.0,2020-05-21 06:44:14,2021-07-29 11:18:51,2021-07-29 10:53:24,221.0,114.0,131.0,591.0,12719.0,2021-07-29 11:03:55,1.1.1-beta,34419.0,2458.0,18.0,A Binance Smart Chain client based on the go-ethereum fork.,,,602.0,23,True,3.0,,,
9,Monero,blockchain,monero-project/monero,['PoW'],https://github.com/monero-project/monero,https://github.com/monero-project/monero,,2014-04-30 14:38:28,2021-07-29 17:33:00,2021-07-28 18:02:20,2140.0,461.0,1989.0,6063.0,10483.0,2021-04-11 13:20:56,0.17.2.0,29438.0,446.0,39.0,"Monero: the secure, private, untraceable cryptocurrency.",,,350.0,22,False,3.0,,,
