,name,category,github_id,labels,github_url,homepage,license,created_at,updated_at,last_commit_pushed_at,fork_count,open_issue_count,closed_issue_count,star_count,commit_count,latest_stable_release_published_at,latest_stable_release_number,github_release_downloads,monthly_downloads,release_count,description,dependent_project_count,github_dependent_project_count,contributor_count,projectrank,show,projectrank_placing,trending,updated_github_id,gitlab_id
0,Ethereum,blockchain,ethereum/go-ethereum,"['PoW', 'PoS']",https://github.com/ethereum/go-ethereum,https://github.com/ethereum/go-ethereum,LGPL-3.0,2013-12-26 13:05:46,2021-08-12 17:20:15,2021-08-12 07:15:49,10707.0,235.0,5540.0,31787.0,12796.0,2021-08-12 07:16:59,1.10.7,92971.0,1475.0,100.0,Official Go implementation of the Ethereum protocol.,4559.0,4559.0,620.0,33,True,1.0,6.0,,
1,Dogecoin,blockchain,dogecoin/dogecoin,['PoW'],https://github.com/dogecoin/dogecoin,https://github.com/dogecoin/dogecoin,MIT,2013-12-06 11:38:05,2021-08-12 17:51:20,2021-05-18 22:12:42,2087.0,170.0,802.0,12545.0,13537.0,2021-02-28 21:14:19,1.14.3,8257379.0,89754.0,36.0,very currency.,,,555.0,28,True,1.0,-1.0,,
2,Dash,blockchain,dashpay/dash,['PoW'],https://github.com/dashpay/dash,https://github.com/dashpay/dash,MIT,2014-05-01 17:45:34,2021-08-12 17:50:30,2021-06-05 19:11:48,1120.0,62.0,524.0,1397.0,19080.0,2021-06-07 18:07:45,0.17.0.3,85663800.0,1032093.0,48.0,Dash - Reinventing Cryptocurrency.,,,506.0,28,True,1.0,1.0,,
3,EOS,blockchain,EOSIO/eos,['dPoS'],https://github.com/EOSIO/eos,https://github.com/EOSIO/eos,MIT,2017-04-05 17:09:53,2021-08-12 17:04:23,2021-07-19 23:22:42,3349.0,265.0,4717.0,11236.0,20554.0,2021-05-20 13:46:17,2.1.0,74060.0,1948.0,100.0,An open source smart contract platform.,,,282.0,27,True,2.0,,,
4,Bitcoin,blockchain,bitcoin/bitcoin,['PoW'],https://github.com/bitcoin/bitcoin,https://github.com/bitcoin/bitcoin,MIT,2010-12-19 15:16:43,2021-08-12 18:03:23,2021-08-12 17:03:00,20540.0,610.0,5781.0,56137.0,30198.0,2021-05-03 01:33:04,0.21.1,,,35.0,Bitcoin Core integration/staging tree.,,,991.0,25,True,2.0,,,
5,Chainlink,blockchain,smartcontractkit/chainlink,[],https://github.com/smartcontractkit/chainlink,https://github.com/smartcontractkit/chainlink,MIT,2017-11-20 19:50:46,2021-08-12 16:31:11,2021-08-12 15:46:12,574.0,41.0,185.0,2149.0,15704.0,2021-08-09 21:10:04,0.10.11,,,50.0,"node of the decentralized oracle network, bridging on and off-chain computation.",249.0,249.0,95.0,25,True,2.0,,,
6,Solana,blockchain,solana-labs/solana,['PoS'],https://github.com/solana-labs/solana,https://github.com/solana-labs/solana,,2018-02-14 04:26:27,2021-08-12 17:45:28,2021-08-12 16:55:24,579.0,506.0,2591.0,2914.0,15330.0,2021-07-23 20:36:22,1.6.20,142689.0,12971.0,100.0,"Web-Scale Blockchain for fast, secure, scalable, decentralized apps and marketplaces.",,,195.0,24,False,2.0,,,
7,TRON,blockchain,tronprotocol/java-tron,['dPoS'],https://github.com/tronprotocol/java-tron,https://github.com/tronprotocol/java-tron,LGPL-3.0,2017-12-26 10:20:38,2021-08-12 16:16:56,2021-08-12 08:12:36,874.0,7.0,873.0,2750.0,15874.0,2021-08-03 09:53:04,GreatVoyage-v4.3.0,66858.0,1519.0,59.0,Java implementation of the Tron whitepaper.,,,223.0,23,True,3.0,,,
8,Binance chain,blockchain,binance-chain/bsc,['PoS'],https://github.com/binance-chain/bsc,https://github.com/binance-chain/bsc,LGPL-3.0,2020-05-21 06:44:14,2021-08-12 11:52:28,2021-08-10 13:28:14,237.0,79.0,189.0,615.0,12724.0,2021-07-29 11:03:55,1.1.1-beta,38460.0,2564.0,18.0,A Binance Smart Chain client based on the go-ethereum fork.,,,604.0,23,True,3.0,,,
9,Monero,blockchain,monero-project/monero,['PoW'],https://github.com/monero-project/monero,https://github.com/monero-project/monero,,2014-04-30 14:38:28,2021-08-12 17:07:53,2021-08-12 02:40:13,2148.0,462.0,1996.0,6098.0,10521.0,2021-04-11 13:20:56,0.17.2.0,29567.0,441.0,39.0,"Monero: the secure, private, untraceable cryptocurrency.",,,350.0,22,False,3.0,,,
10,Litecoin,blockchain,litecoin-project/litecoin,['PoW'],https://github.com/litecoin-project/litecoin,https://github.com/litecoin-project/litecoin,MIT,2012-06-13 04:18:26,2021-08-02 22:18:28,2021-06-10 08:07:14,2714.0,58.0,374.0,3912.0,19975.0,2020-06-11 19:52:19,0.18.1,,,12.0,Litecoin source tree.,,,758.0,22,True,3.0,,,
11,Zcash,blockchain,zcash/zcash,['PoW'],https://github.com/zcash/zcash,https://github.com/zcash/zcash,,2014-11-22 03:13:10,2021-08-12 17:18:13,2021-08-12 14:13:55,1177.0,896.0,2276.0,4435.0,15222.0,2021-06-10 02:08:47,4.4.1,222.0,3.0,48.0,Zcash - Internet Money.,,,575.0,21,False,3.0,,,
12,Polkadot,blockchain,paritytech/polkadot,['PoS'],https://github.com/paritytech/polkadot,https://github.com/paritytech/polkadot,GPL-3.0,2018-08-09 10:57:23,2021-08-12 17:40:34,2021-08-12 11:11:36,792.0,278.0,733.0,3943.0,2281.0,2021-07-07 18:18:46,0.9.8,34050.0,1064.0,93.0,Polkadot Node Implementation.,,,134.0,21,True,3.0,,,
13,Cardano,blockchain,input-output-hk/cardano-node,['PoS'],https://github.com/input-output-hk/cardano-node,https://github.com/input-output-hk/cardano-node,Apache-2.0,2019-05-23 20:12:22,2021-08-12 16:24:27,2021-08-12 09:04:44,317.0,267.0,636.0,1816.0,4796.0,2021-05-13 09:11:31,1.27.0,,,30.0,The core component that is used to participate in a Cardano decentralised blockchain.,,,88.0,20,True,3.0,,,
14,Stellar,blockchain,stellar/stellar-core,['PoS'],https://github.com/stellar/stellar-core,https://github.com/stellar/stellar-core,,2014-11-24 17:11:12,2021-08-12 09:12:57,2021-08-11 15:35:18,813.0,206.0,1060.0,2768.0,7285.0,2021-07-27 16:26:47,17.3.0,,,100.0,stellar-core is the reference implementation for the peer to peer agent that manages the Stellar network.,,,94.0,18,False,3.0,,,
15,Pancake swap,smart-contract,pancakeswap/pancake-swap-core,[],https://github.com/pancakeswap/pancake-swap-core,https://github.com/pancakeswap/pancake-swap-core,GPL-3.0,2020-09-14 06:01:21,2021-08-05 01:42:22,2020-09-27 07:36:36,402.0,11.0,4.0,150.0,259.0,,,,,,Core smart contracts.,655.0,655.0,9.0,17,True,1.0,1.0,,
16,Terra,blockchain,terra-project/core,['dPoS'],https://github.com/terra-money/core,https://github.com/terra-money/core,,2018-11-18 17:11:47,2021-08-11 07:56:37,2021-08-11 07:50:33,75.0,4.0,181.0,309.0,820.0,2021-08-11 08:03:24,0.5.0,2332.0,83.0,44.0,GO implementation of the Terra Protocol.,6.0,6.0,19.0,16,False,3.0,1.0,terra-money/core,
17,Compound,smart-contract,compound-finance/compound-protocol,[],https://github.com/compound-finance/compound-protocol,https://github.com/compound-finance/compound-protocol,BSD-3-Clause,2019-08-02 22:37:25,2021-08-11 18:26:46,2021-08-11 18:26:45,518.0,13.0,28.0,833.0,61.0,2020-06-27 16:22:17,2.8.1,186.0,8.0,10.0,The Compound On-Chain Protocol.,,,16.0,15,True,2.0,,,
18,USD Coin,smart-contract,centrehq/centre-tokens,[],https://github.com/centrehq/centre-tokens,https://github.com/centrehq/centre-tokens,MIT,2018-02-05 15:05:54,2021-08-10 22:44:51,2021-06-03 11:58:39,128.0,,29.0,220.0,836.0,2018-08-03 19:46:55,1.0.0,,,1.0,Source repository for fiat tokens on the CENTRE network.,,,16.0,14,True,2.0,,,
19,Suishi Swap,smart-contract,sushiswap/sushiswap-interface,[],https://github.com/sushiswap/sushiswap-interface,https://github.com/sushiswap/sushiswap-interface,,2021-02-13 17:56:56,2021-08-12 16:27:10,2021-08-10 07:46:05,184.0,11.0,67.0,96.0,3559.0,,,,,,An open source interface for the SushiSwap Protocol.,,,86.0,13,False,3.0,2.0,,
20,Paxos,smart-contract,paxosglobal/pax-contracts,[],https://github.com/paxosglobal/pax-contracts,https://github.com/paxosglobal/pax-contracts,MIT,2018-09-07 21:36:06,2021-08-05 03:54:54,2021-02-02 19:43:59,51.0,,5.0,69.0,51.0,,,,,,Solidity smart contracts for the Paxos Standard ERC20 stablecoin PAX.,,,7.0,11,False,3.0,,,
21,Binance USD,smart-contract,paxosglobal/busd-contract,[],https://github.com/paxosglobal/busd-contract,https://github.com/paxosglobal/busd-contract,MIT,2019-09-06 18:00:31,2021-08-12 17:33:51,2021-02-02 19:43:45,33.0,,,42.0,8.0,,,,,,Solidity smart contracts for the Binance USD.,,,4.0,10,False,3.0,,,
22,Tezos,blockchain,,['dPoS'],,,,,,,,,,,,,,,,,,,,,0,False,,,,tezos/tezos
