,name,category,github_id,labels,github_url,homepage,license,created_at,updated_at,last_commit_pushed_at,fork_count,open_issue_count,closed_issue_count,star_count,commit_count,latest_stable_release_published_at,latest_stable_release_number,github_release_downloads,monthly_downloads,release_count,description,dependent_project_count,github_dependent_project_count,contributor_count,projectrank,show,projectrank_placing,trending,updated_github_id,gitlab_id
0,Ethereum,blockchain,ethereum/go-ethereum,"['PoW', 'PoS']",https://github.com/ethereum/go-ethereum,https://github.com/ethereum/go-ethereum,LGPL-3.0,2013-12-26 13:05:46,2021-08-19 15:48:12,2021-08-18 10:03:41,10741.0,237.0,5552.0,31904.0,12806.0,2021-08-12 07:16:59,1.10.7,92974.0,1475.0,100.0,Official Go implementation of the Ethereum protocol.,4641.0,4641.0,622.0,33,True,1.0,6.0,,
1,Dogecoin,blockchain,dogecoin/dogecoin,['PoW'],https://github.com/dogecoin/dogecoin,https://github.com/dogecoin/dogecoin,MIT,2013-12-06 11:38:05,2021-08-19 11:52:23,2021-05-18 22:12:42,2098.0,170.0,804.0,12585.0,13537.0,2021-02-28 21:14:19,1.14.3,8268043.0,89870.0,36.0,very currency.,,,555.0,28,True,1.0,-1.0,,
2,Dash,blockchain,dashpay/dash,['PoW'],https://github.com/dashpay/dash,https://github.com/dashpay/dash,MIT,2014-05-01 17:45:34,2021-08-19 17:00:32,2021-06-05 19:11:48,1124.0,64.0,526.0,1402.0,19080.0,2021-06-07 18:07:45,0.17.0.3,85682089.0,1032314.0,48.0,Dash - Reinventing Cryptocurrency.,,,506.0,28,True,1.0,1.0,,
3,EOS,blockchain,EOSIO/eos,['dPoS'],https://github.com/EOSIO/eos,https://github.com/EOSIO/eos,MIT,2017-04-05 17:09:53,2021-08-19 15:29:01,2021-07-19 23:22:42,3347.0,267.0,4718.0,11238.0,20554.0,2021-05-20 13:46:17,2.1.0,74440.0,1958.0,100.0,An open source smart contract platform.,,,282.0,27,True,2.0,,,
4,Bitcoin,blockchain,bitcoin/bitcoin,['PoW'],https://github.com/bitcoin/bitcoin,https://github.com/bitcoin/bitcoin,MIT,2010-12-19 15:16:43,2021-08-19 18:05:09,2021-08-19 17:16:09,20598.0,616.0,5789.0,56461.0,30280.0,2021-05-03 01:33:04,0.21.1,,,35.0,Bitcoin Core integration/staging tree.,,,993.0,25,True,2.0,,,
5,Chainlink,blockchain,smartcontractkit/chainlink,[],https://github.com/smartcontractkit/chainlink,https://github.com/smartcontractkit/chainlink,MIT,2017-11-20 19:50:46,2021-08-19 15:13:52,2021-08-19 15:03:05,581.0,41.0,186.0,2165.0,15718.0,2021-08-16 21:25:01,0.10.12,,,51.0,"node of the decentralized oracle network, bridging on and off-chain computation.",252.0,252.0,96.0,25,True,2.0,,,
6,Solana,blockchain,solana-labs/solana,['PoS'],https://github.com/solana-labs/solana,https://github.com/solana-labs/solana,,2018-02-14 04:26:27,2021-08-19 18:06:29,2021-08-19 16:46:06,588.0,498.0,2610.0,3107.0,15403.0,2021-08-18 21:48:12,1.6.21,147194.0,13381.0,100.0,"Web-Scale Blockchain for fast, secure, scalable, decentralized apps and marketplaces.",,,195.0,24,False,2.0,,,
7,TRON,blockchain,tronprotocol/java-tron,['dPoS'],https://github.com/tronprotocol/java-tron,https://github.com/tronprotocol/java-tron,LGPL-3.0,2017-12-26 10:20:38,2021-08-19 10:01:21,2021-08-13 04:06:28,880.0,5.0,879.0,2765.0,15874.0,2021-08-03 09:53:04,GreatVoyage-v4.3.0,67123.0,1525.0,59.0,Java implementation of the Tron whitepaper.,,,223.0,23,True,3.0,,,
8,Binance chain,blockchain,binance-chain/bsc,['PoS'],https://github.com/binance-chain/bsc,https://github.com/binance-chain/bsc,LGPL-3.0,2020-05-21 06:44:14,2021-08-19 12:18:59,2021-08-13 02:37:58,250.0,79.0,195.0,639.0,12727.0,2021-08-13 02:48:57,1.1.1,40958.0,2730.0,19.0,A Binance Smart Chain client based on the go-ethereum fork.,,,604.0,23,True,3.0,,,
9,Monero,blockchain,monero-project/monero,['PoW'],https://github.com/monero-project/monero,https://github.com/monero-project/monero,,2014-04-30 14:38:28,2021-08-19 17:06:11,2021-08-12 02:40:13,2155.0,425.0,2041.0,6124.0,10521.0,2021-04-11 13:20:56,0.17.2.0,29622.0,442.0,39.0,"Monero: the secure, private, untraceable cryptocurrency.",,,350.0,22,False,3.0,,,
10,Litecoin,blockchain,litecoin-project/litecoin,['PoW'],https://github.com/litecoin-project/litecoin,https://github.com/litecoin-project/litecoin,MIT,2012-06-13 04:18:26,2021-08-02 22:18:28,2021-06-10 08:07:14,2718.0,59.0,374.0,3917.0,19975.0,2020-06-11 19:52:19,0.18.1,,,12.0,Litecoin source tree.,,,758.0,22,True,3.0,,,
11,Zcash,blockchain,zcash/zcash,['PoW'],https://github.com/zcash/zcash,https://github.com/zcash/zcash,,2014-11-22 03:13:10,2021-08-19 17:30:10,2021-08-17 18:34:39,1177.0,896.0,2278.0,4440.0,15273.0,2021-06-10 02:08:47,4.4.1,222.0,3.0,48.0,Zcash - Internet Money.,,,575.0,21,False,3.0,,,
12,Polkadot,blockchain,paritytech/polkadot,['PoS'],https://github.com/paritytech/polkadot,https://github.com/paritytech/polkadot,GPL-3.0,2018-08-09 10:57:23,2021-08-19 18:08:00,2021-08-19 18:07:59,799.0,284.0,738.0,3982.0,2302.0,2021-08-18 15:56:53,0.9.9,35019.0,1094.0,94.0,Polkadot Node Implementation.,,,135.0,21,True,3.0,,,
13,Cardano,blockchain,input-output-hk/cardano-node,['PoS'],https://github.com/input-output-hk/cardano-node,https://github.com/input-output-hk/cardano-node,Apache-2.0,2019-05-23 20:12:22,2021-08-19 18:00:39,2021-08-19 13:59:49,321.0,268.0,641.0,1856.0,4837.0,2021-05-13 09:11:31,1.27.0,,,30.0,The core component that is used to participate in a Cardano decentralised blockchain.,,,89.0,20,True,3.0,,,
