,name,category,github_id,labels,github_url,homepage,license,created_at,updated_at,last_commit_pushed_at,fork_count,open_issue_count,closed_issue_count,star_count,commit_count,latest_stable_release_published_at,latest_stable_release_number,github_release_downloads,monthly_downloads,release_count,description,dependent_project_count,github_dependent_project_count,contributor_count,projectrank,show,projectrank_placing,trending,updated_github_id,gitlab_id
0,Ethereum,blockchain,ethereum/go-ethereum,"['PoW', 'PoS']",https://github.com/ethereum/go-ethereum,https://github.com/ethereum/go-ethereum,LGPL-3.0,2013-12-26 13:05:46,2021-09-16 18:03:24,2021-09-16 11:45:16,10896.0,264.0,5606.0,32355.0,12865.0,2021-08-24 07:07:47,1.10.8,88903.0,1389.0,100.0,Official Go implementation of the Ethereum protocol.,4976.0,4976.0,630.0,33,True,1.0,6.0,,
1,Dogecoin,blockchain,dogecoin/dogecoin,['PoW'],https://github.com/dogecoin/dogecoin,https://github.com/dogecoin/dogecoin,MIT,2013-12-06 11:38:05,2021-09-15 20:05:46,2021-08-20 09:09:55,2136.0,97.0,905.0,12969.0,13774.0,2021-08-21 00:30:41,1.14.4,8319032.0,89451.0,37.0,very currency.,,,593.0,29,True,1.0,,,
2,Dash,blockchain,dashpay/dash,['PoW'],https://github.com/dashpay/dash,https://github.com/dashpay/dash,MIT,2014-05-01 17:45:34,2021-09-16 15:50:09,2021-06-05 19:11:48,1124.0,66.0,527.0,1408.0,19080.0,2021-06-07 18:07:45,0.17.0.3,85756423.0,1020909.0,48.0,Dash - Reinventing Cryptocurrency.,,,506.0,28,True,2.0,1.0,,
3,EOS,blockchain,EOSIO/eos,['dPoS'],https://github.com/EOSIO/eos,https://github.com/EOSIO/eos,MIT,2017-04-05 17:09:53,2021-09-16 17:21:22,2021-07-19 23:22:42,3357.0,273.0,4722.0,11256.0,20554.0,2021-08-24 18:22:18,2.0.13,77887.0,1997.0,100.0,An open source smart contract platform.,,,283.0,27,True,2.0,,,
4,Chainlink,blockchain,smartcontractkit/chainlink,[],https://github.com/smartcontractkit/chainlink,https://github.com/smartcontractkit/chainlink,MIT,2017-11-20 19:50:46,2021-09-16 17:39:01,2021-09-16 17:32:27,612.0,51.0,186.0,2246.0,15741.0,2021-09-07 01:47:44,0.10.14,,,53.0,"node of the decentralized oracle network, bridging on and off-chain computation.",1602.0,1602.0,99.0,26,True,2.0,1.0,,
5,Bitcoin,blockchain,bitcoin/bitcoin,['PoW'],https://github.com/bitcoin/bitcoin,https://github.com/bitcoin/bitcoin,MIT,2010-12-19 15:16:43,2021-09-16 17:53:37,2021-09-16 17:53:28,20779.0,614.0,5843.0,57038.0,30629.0,2021-09-14 11:32:48,22.0,,,36.0,Bitcoin Core integration/staging tree.,,,1008.0,24,True,2.0,-1.0,,
6,Solana,blockchain,solana-labs/solana,['PoS'],https://github.com/solana-labs/solana,https://github.com/solana-labs/solana,,2018-02-14 04:26:27,2021-09-16 17:22:54,2021-09-16 15:56:18,720.0,533.0,2659.0,4016.0,15736.0,2021-09-15 01:20:55,1.6.25,171153.0,14262.0,100.0,"Web-Scale Blockchain for fast, secure, scalable, decentralized apps and marketplaces.",,,211.0,24,False,2.0,,,
7,TRON,blockchain,tronprotocol/java-tron,['dPoS'],https://github.com/tronprotocol/java-tron,https://github.com/tronprotocol/java-tron,LGPL-3.0,2017-12-26 10:20:38,2021-09-16 15:17:31,2021-08-13 04:06:28,894.0,5.0,898.0,2809.0,15874.0,2021-08-03 09:53:04,GreatVoyage-v4.3.0,68635.0,1525.0,59.0,Java implementation of the Tron whitepaper.,,,223.0,23,True,3.0,,,
8,Binance chain,blockchain,binance-chain/bsc,['PoS'],https://github.com/binance-chain/bsc,https://github.com/binance-chain/bsc,LGPL-3.0,2020-05-21 06:44:14,2021-09-15 09:07:13,2021-09-06 03:22:21,290.0,87.0,216.0,850.0,12737.0,2021-08-31 02:50:15,1.1.2,47119.0,2944.0,20.0,A Binance Smart Chain client based on the go-ethereum fork.,,,607.0,23,True,3.0,,,
9,Monero,blockchain,monero-project/monero,['PoW'],https://github.com/monero-project/monero,https://github.com/monero-project/monero,,2014-04-30 14:38:28,2021-09-16 09:46:59,2021-09-09 19:21:10,2172.0,433.0,2059.0,6209.0,10567.0,2021-09-01 16:07:46,0.17.2.3,29722.0,437.0,40.0,"Monero: the secure, private, untraceable cryptocurrency.",,,352.0,22,False,3.0,,,
