,name,category,github_id,labels,github_url,homepage,license,created_at,updated_at,last_commit_pushed_at,fork_count,open_issue_count,closed_issue_count,star_count,commit_count,latest_stable_release_published_at,latest_stable_release_number,github_release_downloads,monthly_downloads,release_count,description,dependent_project_count,github_dependent_project_count,contributor_count,projectrank,show,projectrank_placing,trending,updated_github_id,gitlab_id
0,Ethereum,blockchain,ethereum/go-ethereum,"['PoW', 'PoS']",https://github.com/ethereum/go-ethereum,https://github.com/ethereum/go-ethereum,LGPL-3.0,2013-12-26 13:05:46,2021-08-26 16:45:05,2021-08-26 06:35:37,10772.0,242.0,5566.0,31998.0,12842.0,2021-08-24 07:07:47,1.10.8,88895.0,1411.0,100.0,Official Go implementation of the Ethereum protocol.,4714.0,4714.0,625.0,33,True,1.0,6.0,,
1,Dogecoin,blockchain,dogecoin/dogecoin,['PoW'],https://github.com/dogecoin/dogecoin,https://github.com/dogecoin/dogecoin,MIT,2013-12-06 11:38:05,2021-08-26 02:08:22,2021-08-20 09:09:55,2119.0,143.0,834.0,12810.0,13774.0,2021-08-21 00:30:41,1.14.4,8280889.0,90009.0,37.0,very currency.,,,593.0,29,True,1.0,,,
2,Dash,blockchain,dashpay/dash,['PoW'],https://github.com/dashpay/dash,https://github.com/dashpay/dash,MIT,2014-05-01 17:45:34,2021-08-26 17:28:50,2021-06-05 19:11:48,1124.0,64.0,526.0,1403.0,19080.0,2021-06-07 18:07:45,0.17.0.3,85700993.0,1032542.0,48.0,Dash - Reinventing Cryptocurrency.,,,506.0,28,True,2.0,1.0,,
3,EOS,blockchain,EOSIO/eos,['dPoS'],https://github.com/EOSIO/eos,https://github.com/EOSIO/eos,MIT,2017-04-05 17:09:53,2021-08-26 16:17:25,2021-07-19 23:22:42,3348.0,267.0,4722.0,11240.0,20554.0,2021-08-24 18:22:18,2.0.13,74944.0,1972.0,100.0,An open source smart contract platform.,,,282.0,27,True,2.0,,,
4,Bitcoin,blockchain,bitcoin/bitcoin,['PoW'],https://github.com/bitcoin/bitcoin,https://github.com/bitcoin/bitcoin,MIT,2010-12-19 15:16:43,2021-08-26 18:06:39,2021-08-26 12:56:18,20647.0,612.0,5809.0,56614.0,30378.0,2021-05-03 01:33:04,0.21.1,,,35.0,Bitcoin Core integration/staging tree.,,,1002.0,25,True,2.0,,,
5,Chainlink,blockchain,smartcontractkit/chainlink,[],https://github.com/smartcontractkit/chainlink,https://github.com/smartcontractkit/chainlink,MIT,2017-11-20 19:50:46,2021-08-26 18:01:39,2021-08-26 15:33:25,590.0,42.0,186.0,2188.0,15722.0,2021-08-25 18:56:50,0.10.13,,,52.0,"node of the decentralized oracle network, bridging on and off-chain computation.",256.0,256.0,96.0,25,True,2.0,,,
6,Solana,blockchain,solana-labs/solana,['PoS'],https://github.com/solana-labs/solana,https://github.com/solana-labs/solana,,2018-02-14 04:26:27,2021-08-26 18:03:59,2021-08-26 17:48:52,606.0,505.0,2618.0,3177.0,15461.0,2021-08-18 21:48:12,1.6.21,150748.0,13704.0,100.0,"Web-Scale Blockchain for fast, secure, scalable, decentralized apps and marketplaces.",,,196.0,24,False,2.0,,,
7,TRON,blockchain,tronprotocol/java-tron,['dPoS'],https://github.com/tronprotocol/java-tron,https://github.com/tronprotocol/java-tron,LGPL-3.0,2017-12-26 10:20:38,2021-08-26 10:06:52,2021-08-13 04:06:28,885.0,5.0,885.0,2781.0,15874.0,2021-08-03 09:53:04,GreatVoyage-v4.3.0,67429.0,1532.0,59.0,Java implementation of the Tron whitepaper.,,,223.0,23,True,3.0,,,
8,Binance chain,blockchain,binance-chain/bsc,['PoS'],https://github.com/binance-chain/bsc,https://github.com/binance-chain/bsc,LGPL-3.0,2020-05-21 06:44:14,2021-08-26 12:22:01,2021-08-25 02:13:43,261.0,83.0,197.0,657.0,12731.0,2021-08-25 02:17:49,1.1.2,42973.0,2864.0,20.0,A Binance Smart Chain client based on the go-ethereum fork.,,,605.0,23,True,3.0,,,
9,Monero,blockchain,monero-project/monero,['PoW'],https://github.com/monero-project/monero,https://github.com/monero-project/monero,,2014-04-30 14:38:28,2021-08-26 16:55:29,2021-08-20 20:51:18,2153.0,428.0,2042.0,6146.0,10535.0,2021-04-11 13:20:56,0.17.2.0,29670.0,442.0,39.0,"Monero: the secure, private, untraceable cryptocurrency.",,,351.0,22,False,3.0,,,
10,Polkadot,blockchain,paritytech/polkadot,['PoS'],https://github.com/paritytech/polkadot,https://github.com/paritytech/polkadot,GPL-3.0,2018-08-09 10:57:23,2021-08-26 15:57:29,2021-08-26 14:34:45,805.0,293.0,749.0,4027.0,2327.0,2021-08-21 13:29:45,0.9.9-1,36926.0,1153.0,95.0,Polkadot Node Implementation.,,,135.0,22,True,3.0,1.0,,
11,Litecoin,blockchain,litecoin-project/litecoin,['PoW'],https://github.com/litecoin-project/litecoin,https://github.com/litecoin-project/litecoin,MIT,2012-06-13 04:18:26,2021-08-02 22:18:28,2021-06-10 08:07:14,2720.0,59.0,375.0,3924.0,19975.0,2020-06-11 19:52:19,0.18.1,,,12.0,Litecoin source tree.,,,758.0,22,True,3.0,,,
12,Zcash,blockchain,zcash/zcash,['PoW'],https://github.com/zcash/zcash,https://github.com/zcash/zcash,,2014-11-22 03:13:10,2021-08-26 17:56:47,2021-08-24 23:23:34,1181.0,895.0,2279.0,4444.0,15281.0,2021-06-10 02:08:47,4.4.1,222.0,3.0,48.0,Zcash - Internet Money.,,,575.0,21,False,3.0,,,
