,name,category,github_id,labels,github_url,homepage,license,created_at,updated_at,last_commit_pushed_at,fork_count,open_issue_count,closed_issue_count,star_count,commit_count,latest_stable_release_published_at,latest_stable_release_number,github_release_downloads,monthly_downloads,release_count,description,dependent_project_count,github_dependent_project_count,contributor_count,projectrank,show,projectrank_placing,trending,updated_github_id,gitlab_id
0,Ethereum,blockchain,ethereum/go-ethereum,"['PoW', 'PoS']",https://github.com/ethereum/go-ethereum,https://github.com/ethereum/go-ethereum,LGPL-3.0,2013-12-26 13:05:46,2021-08-05 12:26:19,2021-08-04 08:10:37,10672.0,227.0,5529.0,31666.0,12771.0,2021-07-22 14:53:24,1.10.6,95624.0,1517.0,100.0,Official Go implementation of the Ethereum protocol.,4483.0,4483.0,615.0,33,True,1.0,6.0,,
1,Dogecoin,blockchain,dogecoin/dogecoin,['PoW'],https://github.com/dogecoin/dogecoin,https://github.com/dogecoin/dogecoin,MIT,2013-12-06 11:38:05,2021-08-05 16:24:27,2021-05-18 22:12:42,2074.0,170.0,800.0,12340.0,13537.0,2021-02-28 21:14:19,1.14.3,8249172.0,89664.0,36.0,very currency.,,,555.0,28,True,1.0,-1.0,,
2,Dash,blockchain,dashpay/dash,['PoW'],https://github.com/dashpay/dash,https://github.com/dashpay/dash,MIT,2014-05-01 17:45:34,2021-08-05 17:32:41,2021-06-05 19:11:48,1119.0,64.0,522.0,1394.0,19080.0,2021-06-07 18:07:45,0.17.0.3,85643245.0,1031846.0,48.0,Dash - Reinventing Cryptocurrency.,,,506.0,28,True,1.0,1.0,,
3,EOS,blockchain,EOSIO/eos,['dPoS'],https://github.com/EOSIO/eos,https://github.com/EOSIO/eos,MIT,2017-04-05 17:09:53,2021-08-05 17:46:04,2021-07-19 23:22:42,3344.0,262.0,4714.0,11233.0,20554.0,2021-05-20 13:46:17,2.1.0,73648.0,1938.0,100.0,An open source smart contract platform.,,,282.0,27,True,2.0,,,
4,Bitcoin,blockchain,bitcoin/bitcoin,['PoW'],https://github.com/bitcoin/bitcoin,https://github.com/bitcoin/bitcoin,MIT,2010-12-19 15:16:43,2021-08-05 17:47:18,2021-08-05 13:17:50,20491.0,608.0,5769.0,56002.0,30151.0,2021-05-03 01:33:04,0.21.1,,,35.0,Bitcoin Core integration/staging tree.,,,989.0,25,True,2.0,,,
5,Chainlink,blockchain,smartcontractkit/chainlink,[],https://github.com/smartcontractkit/chainlink,https://github.com/smartcontractkit/chainlink,MIT,2017-11-20 19:50:46,2021-08-05 17:58:54,2021-08-05 17:58:53,565.0,42.0,181.0,2121.0,15471.0,2021-07-26 12:21:10,0.10.10,,,49.0,"node of the decentralized oracle network, bridging on and off-chain computation.",247.0,247.0,95.0,25,True,2.0,,,
6,Solana,blockchain,solana-labs/solana,['PoS'],https://github.com/solana-labs/solana,https://github.com/solana-labs/solana,,2018-02-14 04:26:27,2021-08-05 18:07:47,2021-08-05 16:53:29,564.0,505.0,2580.0,2867.0,15236.0,2021-07-23 20:36:22,1.6.20,139180.0,11598.0,100.0,"Web-Scale Blockchain for fast, secure, scalable, decentralized apps and marketplaces.",,,193.0,24,False,2.0,,,
7,TRON,blockchain,tronprotocol/java-tron,['dPoS'],https://github.com/tronprotocol/java-tron,https://github.com/tronprotocol/java-tron,LGPL-3.0,2017-12-26 10:20:38,2021-08-05 10:44:42,2021-08-03 11:08:22,871.0,8.0,866.0,2747.0,15874.0,2021-08-03 09:53:04,GreatVoyage-v4.3.0,66517.0,1511.0,59.0,Java implementation of the Tron whitepaper.,,,223.0,23,True,3.0,,,
8,Binance chain,blockchain,binance-chain/bsc,['PoS'],https://github.com/binance-chain/bsc,https://github.com/binance-chain/bsc,LGPL-3.0,2020-05-21 06:44:14,2021-08-04 11:09:42,2021-07-29 10:53:24,226.0,90.0,169.0,606.0,12719.0,2021-07-29 11:03:55,1.1.1-beta,37024.0,2468.0,18.0,A Binance Smart Chain client based on the go-ethereum fork.,,,602.0,23,True,3.0,,,
9,Monero,blockchain,monero-project/monero,['PoW'],https://github.com/monero-project/monero,https://github.com/monero-project/monero,,2014-04-30 14:38:28,2021-08-05 17:30:26,2021-08-02 22:54:46,2146.0,461.0,1991.0,6080.0,10503.0,2021-04-11 13:20:56,0.17.2.0,29489.0,440.0,39.0,"Monero: the secure, private, untraceable cryptocurrency.",,,350.0,22,False,3.0,,,
